City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Nikolskoye,RU,59.70,30.79,69.87,62,100,10.38,overcast clouds
108,Misawa,JP,40.68,141.36,71.6,95,1,2.57,clear sky
109,Pangody,RU,65.85,74.49,55.8,53,100,11.41,overcast clouds
110,Georgetown,MY,5.41,100.34,80.89,92,20,4.61,few clouds
111,Beringovskiy,RU,63.05,179.32,42.53,79,100,18.52,light rain
112,Gimli,CA,50.63,-96.99,75.29,64,42,17.0,scattered clouds
113,Barrow,US,71.29,-156.79,51.82,66,100,10.36,overcast clouds
114,Launceston,AU,-41.45,147.17,42.44,87,100,5.75,overcast clouds
115,Punta Cardon,VE,11.66,-70.22,84.67,66,87,24.85,overcast clouds
116,Saraipali,IN,21.33,83.00,76.42,87,99,7.87,overcast clouds
117,Vila Velha,BR,-20.33,-40.29,73.94,77,0,9.22,clear sky
118,Sao Jose Da Coroa Grande,BR,-8.90,-35.15,75.29,88,43,11.41,light rain
119,Tshikapa,CD,-6.42,20.80,79.09,32,19,1.74,few clouds
120,Malanje,AO,-9.54,16.34,70.83,32,7,0.94,clear sky
121,Tasiilaq,GL,65.61,-37.64,44.76,81,43,0.63,scattered clouds
122,Tagusao,PH,9.19,117.81,78.8,83,94,3.22,overcast clouds
123,Chengde,CN,40.97,117.94,64.26,94,13,1.81,few clouds
124,Deputatskiy,RU,69.30,139.90,35.1,95,90,4.03,overcast clouds
125,Concepcion Del Oro,MX,24.63,-101.42,83.46,22,26,6.4,scattered clouds
126,Ancud,CL,-41.87,-73.82,41.23,64,87,14.81,overcast clouds
127,Scottsbluff,US,41.87,-103.67,98.78,22,0,6.91,clear sky
128,Ikom,NG,5.97,8.71,72.86,95,100,2.46,light rain
129,Puerto Ayora,EC,-0.74,-90.35,80.56,98,88,7.0,light rain
130,Pak Phanang,TH,8.35,100.20,77.49,84,100,4.63,overcast clouds
131,Torbay,CA,47.67,-52.73,71.58,76,75,20.71,broken clouds
132,Thinadhoo,MV,0.53,72.93,81.09,74,100,10.2,overcast clouds
133,Caravelas,BR,-17.71,-39.25,73.4,73,3,6.67,clear sky
134,Cabo San Lucas,MX,22.89,-109.91,97.61,49,20,11.5,few clouds
135,Kununurra,AU,-15.77,128.73,58.98,82,88,0.0,overcast clouds
136,Ivanjica,RS,43.58,20.23,68.38,51,0,4.43,clear sky
