City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
397,Half Moon Bay,US,82.87,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
401,Ewa Beach,US,82.09,scattered clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
402,Olinda,BR,74.93,mist,-8.01,-34.86,Hotel 5 Sóis
403,Bukan,IR,82.47,clear sky,36.52,46.21,سعید نصوری
409,Quang Ngai,VN,75.36,scattered clouds,15.12,108.8,Central Hotel
411,Kavieng,PG,81.16,light rain,-2.57,150.8,Nusa Island Retreat
413,Moindou,NC,74.73,overcast clouds,-21.69,165.68,Gite de la RYAWA
414,Merta,IN,84.13,overcast clouds,26.65,74.03,V Resorts Ganthiya
418,Takhatgarh,IN,81.9,heavy intensity rain,25.33,73.0,Jagdamba bhawan
420,Aquiraz,BR,80.69,broken clouds,-3.9,-38.39,Hotel Laguna Blu
421,Awbari,LY,85.24,clear sky,26.59,12.78,فندق أوباري
422,Pathein,MM,78.04,overcast clouds,16.78,94.73,Pathein Hotel
425,Havelock,US,87.75,thunderstorm,34.88,-76.9,Sherwood Motel
426,Kudahuvadhoo,MV,79.66,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
428,Vrises,GR,79.2,clear sky,35.49,23.89,Minoa Palace Resort
430,Kontagora,NG,75.61,overcast clouds,10.4,5.47,Queens Guest Inn
434,George Town,MY,80.89,few clouds,5.41,100.34,Cititel Penang
435,Dakar,SN,80.73,broken clouds,14.69,-17.44,Novotel Dakar
437,Hobyo,SO,75.63,scattered clouds,5.35,48.53,Iftin hotel hobyo
444,Jinxiang,CN,80.4,scattered clouds,27.43,120.61,Wolong Village
448,Lar,IN,81.34,overcast clouds,26.2,83.97,Ovaiskarni ward Lar
453,Barra Do Corda,BR,84.27,scattered clouds,-5.5,-45.25,Belchior Palace Hotel
455,High Level,CA,75.31,scattered clouds,58.52,-117.14,Days Inn by Wyndham High Level
456,Maragogi,BR,74.48,scattered clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
457,Esperantina,BR,82.8,few clouds,-3.9,-42.23,Hotel Bela Vista
458,San Juan Del Rio,MX,82.33,scattered clouds,20.38,-100.0,Hotel Layseca
459,Goalpara,IN,78.94,light rain,26.17,90.62,Hotel Moon Moon
464,Utrecht,NL,74.03,broken clouds,52.0,5.25,Night Dijk
466,Superior,US,85.77,scattered clouds,46.72,-92.1,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
467,Havre-Saint-Pierre,CA,77.36,broken clouds,50.23,-63.6,Auberge Niapiskau
472,Mangrol,IN,80.37,broken clouds,21.12,70.12,Hotel The Royal Honours
473,Martapura,ID,75.29,few clouds,-3.42,114.85,Montana Hotel Syariah
478,Bonthe,SL,74.48,light rain,7.53,-12.51,Bonthe Holiday Village
483,Pandan,PH,81.21,overcast clouds,14.05,124.17,Bonifacio Lodge
485,Kharan,PK,87.82,overcast clouds,28.58,65.42,Ghani Hasrat House
499,Banda Aceh,ID,80.17,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
513,Chiapa,MX,77.77,broken clouds,18.47,-96.94,Santa Cruz Huitzmaloc
516,Salalah,OM,77.09,drizzle,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
517,Touros,BR,75.78,broken clouds,-5.2,-35.46,INN NEW HORIZON
520,Boromo,BF,76.35,clear sky,11.75,-2.93,Sama Camp
521,Monteagudo,BO,80.69,broken clouds,-19.82,-63.98,"Residencial ""OLIVIA"""
522,Kutum,SD,75.2,light rain,14.2,24.67,Dibbo areaمنطقة دبو
523,Diu,IN,79.75,overcast clouds,20.71,70.98,Hotel Relax Inn
524,Tual,ID,78.6,overcast clouds,-5.67,132.75,Grand Vilia Hotel
525,Carauari,BR,82.6,overcast clouds,-4.88,-66.9,Pousada Lobo
527,Sorong,ID,77.31,overcast clouds,-0.88,131.25,Waigo Splash Hotel
531,Labuhan,ID,74.79,clear sky,-6.88,112.21,DoubleFAG
532,Shawville,CA,83.77,broken clouds,45.6,-76.48,Shawville Hotel
533,Tottori,JP,74.75,broken clouds,35.5,134.23,Hotel Monarque Tottori
534,Yangjiang,CN,80.42,broken clouds,21.85,111.97,HUALUXE Yangjiang City Center
535,Kearney,US,87.71,clear sky,40.7,-99.08,"Holiday Inn Kearney, an IHG Hotel"
536,Nisia Floresta,BR,82.78,broken clouds,-6.09,-35.21,Rancho Crepusculo
